Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Green,05-Dec,9,1,-,ribosomal protein L2,protein-coding,Plant
Green,21-28,21,0,-,ribosomal protein L22,protein-coding,Plant
Yellow,05-Dec,6,0,-,hypothetical chloroplast RF19,protein-coding,Plant
Yellow,13-20,14,1,-,cytochrome b6/f complex subunit VI,protein-coding,Plant
Green,13-20,14,1,-,ribosomal protein S19,protein-coding,Plant
Green,13-20,17,0,-,ATP synthase CF0 subunit IV,protein-coding,Plant
Yellow,13-20,16,1,-,NADH-plastoquinone oxidoreductase subunit 4L,protein-coding,Plant
Yellow,13-20,20,0,-,cytochrome b6,protein-coding,Plant
Green,21-28,23,0,-,ribosomal protein S18,protein-coding,Plant
Green,13-20,15,0,-,tRNA,tRNA,Plant
Green,13-20,19,0,-,photosystem II protein I,protein-coding,Plant
Green,13-20,13,0,-,23S ribosomal RNA,rRNA,Plant
Green,05-Dec,11,0,-,tRNA,tRNA,Plant
Green,13-20,17,1,-,tRNA,tRNA,Plant
Green,05-Dec,12,1,-,tRNA,tRNA,Plant
Green,13-20,13,1,-,hypothetical chloroplast RF21,protein-coding,Plant
Green,05-Dec,9,1,-,ribosomal protein L33,protein-coding,Plant
Green,21-28,23,1,-,photosystem II phosphoprotein,protein-coding,Plant
Green,13-20,14,0,-,photosystem II protein L,protein-coding,Plant
Yellow,05-Dec,6,0,-,tRNA,tRNA,Plant
Green,13-20,14,1,-,4.5S ribosomal RNA,rRNA,Plant
Green,05-Dec,5,0,-,photosystem II cytochrome b559 alpha subunit,protein-coding,Plant
Green,05-Dec,7,1,-,photosystem II cytochrome b559 beta subunit,protein-coding,Plant
Green,05-Dec,11,0,-,photosystem I assembly protein Ycf4,protein-coding,Plant
Green,05-Dec,10,0,-,tRNA,tRNA,Plant
Green,05-Dec,12,1,-,ribosomal protein S8,protein-coding,Plant
Green,13-20,18,1,-,tRNA,tRNA,Plant
Yellow,13-20,19,0,-,photosystem II protein N,protein-coding,Plant
Green,13-20,20,0,-,tRNA,tRNA,Plant
Yellow,21-28,21,1,-,5S ribosomal RNA,rRNA,Plant
Green,21-28,24,1,-,23S ribosomal RNA,rRNA,Plant
Green,05-Dec,9,0,-,cytochrome b6/f complex subunit V,protein-coding,Plant
Green,13-20,16,0,-,photosystem II protein Z,protein-coding,Plant
Green,13-20,17,1,-,photosystem II protein M,protein-coding,Plant
Green,13-20,15,1,-,tRNA,tRNA,Plant
Green,13-20,17,1,-,ribosomal protein S4,protein-coding,Plant
Green,05-Dec,12,0,-,tRNA,tRNA,Plant
Yellow,13-20,15,1,-,cytochrome b6/f complex subunit VIII,protein-coding,Plant
Green,05-Dec,6,0,-,NADH-plastoquinone oxidoreductase subunit 2,protein-coding,Plant
Yellow,05-Dec,9,1,-,hypothetical chloroplast RF15,protein-coding,Plant
Green,13-20,20,0,-,cytochrome c heme attachment protein,protein-coding,Plant
Green,13-20,16,0,-,photosystem II protein D1,protein-coding,Plant
Green,21-28,28,0,-,tRNA,tRNA,Plant
Green,13-20,18,0,-,ribosomal protein S14,protein-coding,Plant
Green,05-Dec,9,1,-,photosystem I subunit IX,protein-coding,Plant
Green,13-20,18,1,-,hypothetical chloroplast RF21,protein-coding,Plant
Green,13-20,17,1,-,tRNA,tRNA,Plant
Green,13-20,13,0,-,5S ribosomal RNA,rRNA,Plant
Green,13-20,18,0,-,ribosomal protein L23,protein-coding,Plant
Green,13-20,19,0,-,tRNA,tRNA,Plant
Yellow,21-28,28,1,-,tRNA,tRNA,Plant
Yellow,05-Dec,11,1,-,NADH-plastoquinone oxidoreductase subunit J,protein-coding,Plant
Green,05-Dec,8,1,-,tRNA,tRNA,Plant
Green,05-Dec,5,0,-,photosystem II protein K,protein-coding,Plant
Red,05-Dec,9,1,-,ATP synthase CF1 alpha subunit,protein-coding,Plant
Red,05-Dec,9,1,-,photosystem II protein D2,protein-coding,Plant
Green,21-28,22,0,-,ATP synthase CF1 epsilon subunit,protein-coding,Plant
Red,13-20,14,1,-,16S ribosomal RNA,rRNA,Plant
Green,13-20,18,1,-,hypothetical chloroplast RF19,protein-coding,Plant
Green,13-20,19,1,-,tRNA,tRNA,Plant
Green,13-20,16,1,-,ribosomal protein S7,protein-coding,Plant
Green,13-20,15,0,-,tRNA,tRNA,Plant
Green,13-20,15,1,-,-,tRNA,Plant
Green,13-20,18,0,-,-,rRNA,Plant
Yellow,13-20,15,1,-,-,tRNA,Plant
Yellow,21-28,28,1,-,-,tRNA,Plant
Green,13-20,19,1,-,-,tRNA,Plant
Green,13-20,17,1,-,-,tRNA,Plant
Green,05-Dec,9,1,-,hypothetical chloroplast RF1,protein-coding,Plant
Yellow,13-20,16,1,-,NADH dehydrogenase subunit 5,protein-coding,Plant
Yellow,05-Dec,7,0,-,ribosomal protein L32,protein-coding,Plant
Green,13-20,14,1,-,-,tRNA,Plant
Green,13-20,19,0,-,cytochrome c biogenesis protein,protein-coding,Plant
Green,13-20,14,0,-,NADH dehydrogenase subunit 4,protein-coding,Plant
Green,13-20,15,0,-,photosystem I subunit VII,protein-coding,Plant
Green,13-20,18,1,-,cytochrome b6/f complex subunit VI,protein-coding,Plant
Green,13-20,15,1,-,cytochrome b6/f complex subunit V,protein-coding,Plant
Green,05-Dec,11,1,-,-,tRNA,Plant
Green,13-20,13,1,-,-,tRNA,Plant
Green,05-Dec,5,1,-,photosystem I subunit IX,protein-coding,Plant
Green,05-Dec,5,1,-,ribosomal protein L33,protein-coding,Plant
Yellow,21-28,28,0,-,ribosomal protein S18,protein-coding,Plant
Yellow,21-28,24,0,-,ribosomal protein L20,protein-coding,Plant
Green,13-20,19,0,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,Plant
Green,13-20,17,1,-,photosystem II 47 kDa protein,protein-coding,Plant
Green,21-28,27,0,-,photosystem II protein T,protein-coding,Plant
Yellow,13-20,18,0,-,photosystem II protein N,protein-coding,Plant
Yellow,05-Dec,6,0,-,photosystem II protein H,protein-coding,Plant
Red,13-20,17,1,-,cytochrome b6,protein-coding,Plant
Green,13-20,19,1,-,photosystem I P700 chlorophyll a apoprotein A2,protein-coding,Plant
Green,13-20,18,0,-,photosystem I P700 chlorophyll a apoprotein A1,protein-coding,Plant
Green,13-20,19,0,-,photosystem I assembly protein Ycf3,protein-coding,Plant
Yellow,21-28,23,1,-,-,tRNA,Plant
Green,05-Dec,5,1,-,ribosomal protein S4,protein-coding,Plant
Yellow,13-20,17,0,-,-,tRNA,Plant
Green,05-Dec,10,1,-,-,tRNA,Plant
Green,13-20,15,1,-,-,tRNA,Plant
Red,05-Dec,11,1,-,-,tRNA,Plant
Green,05-Dec,6,1,-,NADH dehydrogenase subunit J,protein-coding,Plant
Yellow,21-28,26,0,-,NADH dehydrogenase subunit K,protein-coding,Plant
Red,13-20,17,1,-,NADH dehydrogenase subunit 4L,protein-coding,Plant
Green,13-20,14,0,-,NADH dehydrogenase subunit 6,protein-coding,Plant
Green,13-20,18,1,-,NADH dehydrogenase subunit I,protein-coding,Plant
Green,05-Dec,9,1,-,NADH dehydrogenase subunit 1,protein-coding,Plant
Yellow,05-Dec,11,1,-,NADH dehydrogenase subunit 7,protein-coding,Plant
Green,13-20,14,0,-,ribosomal protein S15,protein-coding,Plant
Green,13-20,15,0,-,hypothetical chloroplast RF1,protein-coding,Plant
Yellow,21-28,28,1,-,-,tRNA,Plant
Yellow,05-Dec,6,0,-,-,tRNA,Plant
Red,05-Dec,12,0,-,-,tRNA,Plant
Red,13-20,13,1,-,-,tRNA,Plant
Green,05-Dec,6,1,-,-,rRNA,Plant
Green,13-20,17,1,-,photosystem II protein K,protein-coding,Plant
Green,13-20,18,1,-,photosystem II protein I,protein-coding,Plant
Green,21-28,26,0,-,-,tRNA,Plant
Green,05-Dec,8,0,-,-,tRNA,Plant
Green,05-Dec,10,1,-,-,tRNA,Plant
Green,05-Dec,6,1,-,-,tRNA,Plant
Green,05-Dec,12,1,-,-,tRNA,Plant
Green,13-20,19,0,-,ribosomal protein S12,protein-coding,Plant
Red,13-20,20,0,-,ribosomal protein S7,protein-coding,Plant
Yellow,13-20,17,1,-,NADH dehydrogenase subunit 2,protein-coding,Plant
Green,13-20,16,1,-,-,tRNA,Plant
Green,21-28,22,0,-,Ycf2,protein-coding,Plant
Green,13-20,18,1,-,-,tRNA,Plant
Green,05-Dec,7,0,-,Ycf2,protein-coding,Plant
Yellow,05-Dec,12,1,-,-,tRNA,Plant
Green,13-20,17,0,-,NADH dehydrogenase subunit 2,protein-coding,Plant
Yellow,13-20,20,1,-,ribosomal protein S7,protein-coding,Plant
Green,05-Dec,7,0,-,ribosomal protein S12,protein-coding,Plant
Yellow,05-Dec,10,1,-,-,tRNA,Plant
Red,05-Dec,12,1,-,-,tRNA,Plant
Red,13-20,15,0,-,-,tRNA,Plant
Green,21-28,26,0,-,ribosomal protein L22,protein-coding,Plant
Yellow,05-Dec,6,1,-,-,rRNA,Plant
Green,13-20,20,0,-,-,rRNA,Plant
Green,05-Dec,11,1,-,-,rRNA,Plant
Green,13-20,18,1,-,-,rRNA,Plant
Yellow,13-20,14,1,-,-,rRNA,Plant
Green,05-Dec,12,0,-,-,rRNA,Plant
Green,13-20,14,0,-,cytochrome b6/f complex subunit IV,protein-coding,Plant
Green,21-28,23,1,-,RNA polymerase alpha subunit,protein-coding,Plant
Green,21-28,24,1,-,ribosomal protein S11,protein-coding,Plant
Green,21-28,26,1,-,ribosomal protein L36,protein-coding,Plant
Green,13-20,17,1,-,ribosomal protein S8,protein-coding,Plant
Green,13-20,15,0,-,ribosomal protein L14,protein-coding,Plant
Green,13-20,14,1,-,ribosomal protein L16,protein-coding,Plant
Yellow,13-20,13,1,-,ribosomal protein S3,protein-coding,Plant
Green,05-Dec,7,1,-,ribosomal protein L22,protein-coding,Plant
Yellow,05-Dec,6,1,-,ribosomal protein S19,protein-coding,Plant
Yellow,13-20,19,0,-,ribosomal protein L2,protein-coding,Plant
Green,05-Dec,11,0,-,ribosomal protein L23,protein-coding,Plant
Green,13-20,13,1,-,-,tRNA,Plant
Green,13-20,18,0,-,-,tRNA,Plant
Green,05-Dec,10,1,-,-,tRNA,Plant
Green,13-20,19,1,-,-,tRNA,Plant
Yellow,05-Dec,10,0,-,-,tRNA,Plant
Green,05-Dec,7,0,-,photosystem II protein D2,protein-coding,Plant
Green,13-20,13,1,-,photosystem II 44 kDa protein,protein-coding,Plant
Green,21-28,24,1,-,-,tRNA,Plant
Green,05-Dec,5,0,-,photosystem II protein Z,protein-coding,Plant
Green,13-20,19,1,-,-,tRNA,Plant
Yellow,21-28,25,0,-,-,tRNA,Plant
Green,13-20,16,1,-,ribosomal protein S14,protein-coding,Plant
Yellow,21-28,21,0,-,NADH dehydrogenase subunit 3,protein-coding,Plant
Red,13-20,17,0,-,-,tRNA,Plant
Green,05-Dec,8,0,-,-,tRNA,Plant
Green,13-20,18,0,-,-,tRNA,Plant
Green,05-Dec,12,0,-,ATP synthase CF1 epsilon subunit,protein-coding,Plant
Green,05-Dec,9,0,-,ATP synthase CF1 beta subunit,protein-coding,Plant
Green,13-20,18,0,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,Plant
Green,13-20,18,1,-,acetyl-CoA carboxylase beta subunit,protein-coding,Plant
Green,21-28,23,1,-,photosystem I subunit VIII,protein-coding,Plant
Green,13-20,20,0,-,photosystem I assembly protein Ycf4,protein-coding,Plant
Green,13-20,15,0,-,envelope membrane protein,protein-coding,Plant
Green,21-28,28,0,-,cytochrome f,protein-coding,Plant
Green,13-20,19,1,-,photosystem II protein J,protein-coding,Plant
Green,05-Dec,8,0,-,photosystem II protein L,protein-coding,Plant
Green,13-20,15,0,-,photosystem II protein VI,protein-coding,Plant
Green,05-Dec,6,1,-,photosystem II protein V,protein-coding,Plant
Yellow,21-28,24,1,-,ribosomal protein L23,protein-coding,Plant
Green,13-20,13,0,-,ribosomal protein L2,protein-coding,Plant
Green,13-20,20,0,-,ribosomal protein S19,protein-coding,Plant
Green,13-20,14,1,-,-,tRNA,Plant
Green,13-20,16,0,-,-,tRNA,Plant
Green,13-20,17,0,-,ATP synthase CF1 alpha subunit,protein-coding,Plant
Yellow,13-20,15,0,-,ATP synthase CF0 B subunit,protein-coding,Plant
Green,13-20,17,0,-,ATP synthase CF0 C subunit,protein-coding,Plant
Yellow,13-20,17,0,-,ATP synthase CF0 A subunit,protein-coding,Plant
Green,05-Dec,5,0,-,ribosomal protein S2,protein-coding,Plant
Green,13-20,18,1,-,RNA polymerase beta'' subunit,protein-coding,Plant
Green,13-20,13,1,-,RNA polymerase beta' subunit,protein-coding,Plant
Green,13-20,17,1,-,RNA polymerase beta subunit,protein-coding,Plant
Green,05-Dec,8,1,-,-,tRNA,Plant
Green,13-20,14,0,-,cytochrome b6/f complex subunit VIII,protein-coding,Plant
Green,05-Dec,12,0,-,photosystem II protein M,protein-coding,Plant
Green,05-Dec,12,1,-,-,tRNA,Plant
Green,13-20,17,0,-,photosystem II protein D1,protein-coding,Plant
Green,05-Dec,9,1,-,-,tRNA,Plant
Green,13-20,16,0,-,maturase K,protein-coding,Plant
Green,13-20,13,1,-,-,tRNA,Plant
Green,13-20,14,0,-,ribosomal protein S16,protein-coding,Plant
Green,05-Dec,6,0,-,Record to support submission of GeneRIFs for a gene not in Gene (Citrus x sinensis; Valencia orange; apfelsine; naranja; navel orange; sweet orange).,other,Plant
Green,21-28,23,1,MT,NADH dehydrogenase subunit 4L,protein-coding,Plant
Green,05-Dec,7,1,MT,-,tRNA,Plant
Green,21-28,21,1,MT,-,rRNA,Plant
Green,13-20,16,0,MT,ribosomal protein L16,protein-coding,Plant
Green,13-20,13,1,MT,ribosomal protein S3,protein-coding,Plant
Yellow,13-20,13,1,MT,cytochrome c maturase subunit Fc,protein-coding,Plant
Green,13-20,16,0,MT,-,tRNA,Plant
Green,21-28,26,0,MT,-,tRNA,Plant
Yellow,05-Dec,7,0,MT,cytochrome c biogenesis C,protein-coding,Plant
Green,13-20,14,0,MT,-,tRNA,Plant
Green,13-20,17,0,MT,cytochrome c biogenesis FN,protein-coding,Plant
Green,13-20,19,1,MT,NADH dehydrogenase subunit 4,protein-coding,Plant
Green,05-Dec,7,1,MT,-,tRNA,Plant
Yellow,13-20,14,0,MT,-,tRNA,Plant
Green,13-20,13,0,MT,-,tRNA,Plant
Green,13-20,17,0,MT,-,tRNA,Plant
Green,13-20,19,1,MT,NADH dehydrogenase subunit 6,protein-coding,Plant
Green,13-20,13,0,MT,ribosomal protein S4,protein-coding,Plant
Green,13-20,18,0,MT,ribosomal protein L5,protein-coding,Plant
Green,13-20,15,1,MT,ATP synthase subunit 1,protein-coding,Plant
Yellow,21-28,24,1,MT,cytochrome c maturase subunit B,protein-coding,Plant
Green,05-Dec,9,0,MT,-,tRNA,Plant
Green,13-20,20,1,MT,-,tRNA,Plant
Green,13-20,15,0,MT,-,tRNA,Plant
Green,13-20,18,1,MT,-,tRNA,Plant
Green,05-Dec,9,0,MT,-,tRNA,Plant
Red,13-20,13,1,MT,-,tRNA,Plant
Red,13-20,18,0,MT,ribosomal protein L2,protein-coding,Plant
Green,13-20,14,0,MT,-,tRNA,Plant
Green,13-20,19,0,MT,-,tRNA,Plant
Green,13-20,16,1,MT,ribosomal protein L2,protein-coding,Plant
Yellow,13-20,13,0,MT,-,tRNA,Plant
Yellow,05-Dec,7,1,MT,-,tRNA,Plant
Yellow,13-20,15,1,MT,-,tRNA,Plant
Green,13-20,17,0,MT,-,tRNA,Plant
Green,13-20,13,0,MT,-,tRNA,Plant
Green,13-20,14,1,MT,succinate dehydrogenase subunit 4,protein-coding,Plant
Red,05-Dec,6,0,MT,cytochrome c oxidase subunit 3,protein-coding,Plant
Green,05-Dec,7,1,MT,-,tRNA,Plant
Green,13-20,13,0,MT,cytochrome c oxidase subunit 2,protein-coding,Plant
Green,13-20,18,0,MT,-,tRNA,Plant
Green,05-Dec,9,0,MT,ATPase subunit 6,protein-coding,Plant
Red,05-Dec,7,1,MT,-,tRNA,Plant
Yellow,21-28,26,0,MT,-,tRNA,Plant
Green,13-20,16,0,MT,-,tRNA,Plant
Green,21-28,21,1,MT,ribosomal protein S7,protein-coding,Plant
Green,05-Dec,10,0,MT,-,rRNA,Plant
Green,13-20,14,1,MT,-,rRNA,Plant
Green,13-20,13,0,MT,NADH dehydrogenase subunit 7,protein-coding,Plant
Yellow,05-Dec,9,0,MT,cytochrome c oxidase subunit 1,protein-coding,Plant
Yellow,13-20,20,1,MT,ribosomal protein S10,protein-coding,Plant
Yellow,13-20,19,0,MT,-,tRNA,Plant
Green,13-20,14,1,MT,-,tRNA,Plant
Green,13-20,13,1,MT,-,tRNA,Plant
Green,21-28,23,1,MT,-,tRNA,Plant
Green,05-Dec,11,0,MT,-,tRNA,Plant
Green,13-20,17,1,MT,transport membrane protein,protein-coding,Plant
Green,13-20,18,0,MT,-,tRNA,Plant
Yellow,13-20,16,1,MT,-,tRNA,Plant
Green,13-20,17,0,MT,NADH dehydrogenase subunit 9,protein-coding,Plant
Green,05-Dec,9,0,MT,ATP synthase subunit 9,protein-coding,Plant
Yellow,05-Dec,8,0,MT,NADH dehydrogenase subunit 3,protein-coding,Plant
Green,13-20,13,0,MT,ribosomal protein S12,protein-coding,Plant
Green,13-20,19,1,MT,ribosomal protein L10,protein-coding,Plant
Yellow,13-20,17,1,MT,apocytochrome b,protein-coding,Plant
Green,13-20,14,1,MT,-,tRNA,Plant
Green,13-20,17,1,MT,-,tRNA,Plant
Red,13-20,16,0,MT,NADH dehydrogenase subunit 2,protein-coding,Plant
Green,13-20,18,0,MT,NADH dehydrogenase subunit 1,protein-coding,Plant
Green,13-20,18,0,MT,ATP synthase subunit 4,protein-coding,Plant
Green,13-20,18,0,MT,NADH dehydrogenase subunit 5,protein-coding,Plant
Yellow,05-Dec,9,1,8,"isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial",protein-coding,Plant
Green,05-Dec,12,1,4,cinnamate 4-hydroxylase CYP73,protein-coding,Plant
Green,21-28,26,1,8,ubiquitin-conjugating enzyme 13,protein-coding,Plant
Green,13-20,13,1,4,probable sulfate transporter 3.5,protein-coding,Plant
Green,13-20,17,0,9,SOC1-like protein 2,protein-coding,Plant
Green,21-28,27,1,Un,SOC1-like protein 1,protein-coding,Plant
Green,05-Dec,9,0,4,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,protein-coding,Plant
Green,13-20,14,1,7,sucrose transporter 2,protein-coding,Plant
Red,05-Dec,9,1,6,tubulin beta chain,protein-coding,Plant
Yellow,13-20,20,0,2,MAF1-like protein,protein-coding,Plant
Green,13-20,20,1,Un,pectinesterase,protein-coding,Plant
Yellow,21-28,28,0,9,inactive beta-amylase 9,protein-coding,Plant
Green,13-20,17,0,5,PSI reaction center subunit III,protein-coding,Plant
Green,05-Dec,11,0,6,"prolycopene isomerase, chloroplastic",protein-coding,Plant
Yellow,21-28,27,1,7,citrate synthase,protein-coding,Plant
Green,13-20,15,0,Un,"granule-bound starch synthase 1, chloroplastic/amyloplastic",protein-coding,Plant
Green,13-20,20,0,-,putative DNA binding protein,protein-coding,Plant
Green,13-20,18,0,7,expansin 2,protein-coding,Plant
Green,13-20,19,0,3,importin alpha,protein-coding,Plant
Green,05-Dec,11,1,2,sugar carrier protein C,protein-coding,Plant
Green,05-Dec,9,0,8,abscisic-aldehyde oxidase,protein-coding,Plant
Green,13-20,20,1,4,thioredoxin-like protein CXXS1,protein-coding,Plant
Red,13-20,14,1,5,anthocyanidin synthase,protein-coding,Plant
Green,13-20,14,1,5,valencene synthase,protein-coding,Plant
Green,13-20,16,0,4,hexokinase,protein-coding,Plant
Green,05-Dec,11,0,7,group B HMG-box protein,protein-coding,Plant
Green,21-28,21,1,5,PSI reaction center subunit II,protein-coding,Plant
Green,13-20,18,0,7,auxin-response factor,protein-coding,Plant
Green,21-28,22,0,3,tubulin alpha chain,protein-coding,Plant
Green,05-Dec,8,0,5,glutathione S-transferase,protein-coding,Plant
Green,05-Dec,7,1,Un,phytoene desaturase,protein-coding,Plant
Green,13-20,18,1,4,molybdenum cofactor sulfurase,protein-coding,Plant
Green,21-28,25,1,7,"alpha-amylase 3, chloroplastic",protein-coding,Plant
Green,13-20,15,1,3,ZDS,protein-coding,Plant
Yellow,13-20,15,0,5,acidic cellulase,protein-coding,Plant
Yellow,05-Dec,12,1,5,ethylene response sensor 1,protein-coding,Plant
Green,13-20,17,1,8,squalene synthase,protein-coding,Plant
Green,13-20,13,0,2,pyruvate decarboxylase,protein-coding,Plant
Green,13-20,20,1,6,short chain alcohol dehydrogenase,protein-coding,Plant
Green,13-20,18,0,9,citrin,protein-coding,Plant
Red,13-20,15,1,3,putative R2R3-MYB transcription factor,protein-coding,Plant
Yellow,13-20,17,1,1,poly A-binding protein 2,protein-coding,Plant
Green,13-20,16,1,3,somatic embryogenesis receptor-like kinase,protein-coding,Plant
Green,05-Dec,8,1,6,ubiquitin-conjugating enzyme variant,protein-coding,Plant
Green,13-20,13,1,1,actin-7,protein-coding,Plant
Yellow,21-28,22,0,-,lipid-transfer protein,protein-coding,Plant
Green,05-Dec,9,0,4,acyl-ACP-thioesterase B,protein-coding,Plant
Yellow,05-Dec,10,1,1,"zeaxanthin epoxidase, chloroplastic",protein-coding,Plant
Green,05-Dec,9,1,7,putative eukaryotic translation initiation factor 1,protein-coding,Plant
Yellow,13-20,15,0,3,dehydrin,protein-coding,Plant
Green,13-20,15,0,1,NADP-dependent malic enzyme,protein-coding,Plant
Yellow,05-Dec,6,0,5,"beta-amylase 3, chloroplastic",protein-coding,Plant
Green,05-Dec,9,0,7,HAP3-like protein,protein-coding,Plant
Green,13-20,16,0,7,putative bHLH transcription factor,protein-coding,Plant
Green,21-28,26,0,5,basic cellulase,protein-coding,Plant
Green,13-20,15,0,5,violaxanthin de-epoxidase,protein-coding,Plant
Red,05-Dec,6,1,7,"chlorophyll a-b binding protein CP29.3, chloroplastic",protein-coding,Plant
Green,05-Dec,9,1,7,poly(A)-binding protein 1,protein-coding,Plant
Red,05-Dec,5,1,2,ACC oxidase,protein-coding,Plant
Red,13-20,14,1,9,malate dehydrogenase,protein-coding,Plant
Green,05-Dec,11,0,8,probable NOT transcription complex subunit VIP2,protein-coding,Plant
Yellow,13-20,20,0,8,ABA glucosyltransferase,protein-coding,Plant
Green,13-20,17,1,6,phytoene synthase,protein-coding,Plant
Red,21-28,21,1,8,elongation factor 1-alpha,protein-coding,Plant
Green,13-20,14,0,2,ELF4-like protein,protein-coding,Plant
Yellow,13-20,19,0,-,Myb transcription factor,protein-coding,Plant
Red,13-20,14,1,5,aluminum-activated malate transporter 8,protein-coding,Plant
Green,05-Dec,8,0,3,uncharacterized LOC102578007,ncRNA,Plant
Green,05-Dec,10,1,5,chloroplast chlorophyllase,protein-coding,Plant
Red,13-20,14,0,2,pyruvate kinase,protein-coding,Plant
Yellow,13-20,19,0,-,phosphoenolpyruvate carboxylase,protein-coding,Plant
Green,05-Dec,10,1,8,mitogen-activated protein kinase 1,protein-coding,Plant
Green,13-20,15,1,1,cinnamate 4-hydroxylase CYP73,protein-coding,Plant
Yellow,05-Dec,12,1,1,RNA recognition motif protein 1,protein-coding,Plant
Yellow,05-Dec,7,0,7,"glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic",protein-coding,Plant
Green,21-28,21,0,4,cysteine protease Cp,protein-coding,Plant
Green,13-20,20,0,1,phospholipase D alpha,protein-coding,Plant
Yellow,05-Dec,7,0,7,APETALA1,protein-coding,Plant
Green,05-Dec,10,1,Un,"1,6-rhamnosyltransferase",protein-coding,Plant
Green,05-Dec,10,0,3,uncharacterized LOC102578020,ncRNA,Plant
Green,05-Dec,11,1,9,beta-carotene hydroxylase,protein-coding,Plant
Green,13-20,14,1,7,translin-associated factor X,protein-coding,Plant
Yellow,13-20,18,0,5,chitinase CHI1,protein-coding,Plant
Green,13-20,18,0,3,allene oxide synthase,protein-coding,Plant
Yellow,13-20,19,0,1,polygalacturonase,protein-coding,Plant
Yellow,05-Dec,7,1,2,alcohol acyl transferase,protein-coding,Plant
Green,13-20,20,1,9,ethylene response 2,protein-coding,Plant
Green,13-20,15,1,-,putative alpha-amylase,protein-coding,Plant
Yellow,13-20,17,0,8,pathogenesis-related protein PR-4A,protein-coding,Plant
Green,05-Dec,11,1,5,putative sterol esterification protein,protein-coding,Plant
Green,13-20,14,0,4,HSP90 protein,protein-coding,Plant
Green,05-Dec,7,0,4,beta-galactosidase,protein-coding,Plant
Green,13-20,13,1,4,putative thermostable pectinesterase,protein-coding,Plant
Green,13-20,15,0,1,WUSCHEL-like protein,protein-coding,Plant
Green,05-Dec,9,1,6,terminal flower,protein-coding,Plant
Yellow,05-Dec,6,0,1,aconitate hydratase 1,protein-coding,Plant
Green,21-28,24,0,9,"early light-induced protein 1, chloroplastic",protein-coding,Plant
Green,21-28,24,1,5,thaumatin-like protein,protein-coding,Plant
Green,13-20,20,1,Un,lycopene beta-cyclase 1,protein-coding,Plant
Green,13-20,16,1,3,citrus sucrose transporter 1,protein-coding,Plant
Yellow,05-Dec,9,1,3,ethylene-insensitive 3-like 1 protein,protein-coding,Plant
Green,13-20,13,1,5,phospholipase D gamma,protein-coding,Plant
Green,05-Dec,9,1,2,fatty acid hydroperoxide lyase,protein-coding,Plant
Green,21-28,21,0,2,pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta,protein-coding,Plant
Green,05-Dec,12,1,2,"ubiquinol oxidase 4, chloroplastic/chromoplastic",protein-coding,Plant
Green,05-Dec,9,0,Un,pyrophosphate-energized vacuolar membrane proton pump,protein-coding,Plant
Green,05-Dec,9,0,6,KH domain-containing protein At4g18375,protein-coding,Plant
Green,05-Dec,6,0,8,ethylene response 3,protein-coding,Plant
Yellow,05-Dec,11,0,1,putative R2R3-Myb transcription factor,protein-coding,Plant
Green,13-20,15,1,5,structural maintenance of chromosomes domain-containing protein,protein-coding,Plant
Green,13-20,19,0,1,ethylene-induced esterase,protein-coding,Plant
Green,05-Dec,7,0,1,pectinesterase,protein-coding,Plant
Green,13-20,13,0,3,uncharacterized LOC102578057,ncRNA,Plant
Green,13-20,20,1,4,"lycopene epsilon cyclase, chloroplastic",protein-coding,Plant
Green,05-Dec,6,0,3,dihydroflavonol-4-reductase,protein-coding,Plant
Yellow,21-28,27,0,6,neoxanthin synthase,protein-coding,Plant
Green,13-20,16,1,9,PSI reaction center subunit II,protein-coding,Plant
Green,13-20,13,1,5,ethylene response 1,protein-coding,Plant
Yellow,13-20,18,1,5,putative 9-cis-epoxycarotenoid dioxygenase 3,protein-coding,Plant
Yellow,21-28,22,1,7,S-adenosylmethionine decarboxylase,protein-coding,Plant
Green,13-20,20,0,1,V-type proton ATPase catalytic subunit A,protein-coding,Plant
Yellow,13-20,19,0,8,putative cinnamyl alcohol dehydrogenase,protein-coding,Plant
Yellow,05-Dec,6,1,Un,"NAD-dependent malic enzyme 59 kDa isoform, mitochondrial",protein-coding,Plant
Green,13-20,17,1,4,bifunctional purple acid phosphatase 26,protein-coding,Plant
Green,05-Dec,10,1,2,9-cis-epoxycarotenoid dioxygenase 2,protein-coding,Plant
Yellow,13-20,15,0,5,secretory phospholipase A2 alpha,protein-coding,Plant
Green,21-28,28,1,Un,tetratricopeptide domain-containing thioredoxin,protein-coding,Plant
Green,21-28,25,1,7,uncharacterized LOC102606596,protein-coding,Plant
Green,05-Dec,7,0,7,ultraviolet-B receptor UVR8,protein-coding,Plant
Green,05-Dec,5,1,8,GDSL esterase/lipase At5g55050-like,protein-coding,Plant
Green,05-Dec,8,0,1,deSI-like protein At4g17486,protein-coding,Plant
